# ecut,   Bind_x,   Bind_y,   Bind_z,    Bext,    sigma_x(ppm),   sigma_y,   sigma_z
230 2.37972e-08 -6.90413e-12 0 0.00698132 0.00228102 -6.61777e-07 0
230 2.38775e-08 -4.47787e-13 0 0.00698132 0.00228871 -4.29215e-08 0
235 4.15586e-08 -5.5052e-08 0 0.00698132 0.0039835 -0.00527687 0
235 2.03836e-08 -2.21135e-09 0 0.00698132 0.00195382 -0.000211963 0
235 2.30691e-08 -1.30386e-10 0 0.00698132 0.00221123 -1.24978e-05 0
235 2.37784e-08 -8.77187e-12 0 0.00698132 0.00227922 -8.40806e-07 0
235 2.38749e-08 -6.04286e-13 0 0.00698132 0.00228846 -5.79223e-08 0
240 4.39767e-08 -5.97824e-08 0 0.00698132 0.00421527 -0.00573029 0
240 2.02869e-08 -2.51887e-09 0 0.00698132 0.00194455 -0.00024144 0
240 2.29682e-08 -1.55776e-10 0 0.00698132 0.00220156 -1.49315e-05 0
240 2.3757e-08 -1.10342e-11 0 0.00698132 0.00227716 -1.05766e-06 0
240 2.38717e-08 -8.04763e-13 0 0.00698132 0.00228816 -7.71385e-08 0
245 4.65528e-08 -6.47286e-08 0 0.00698132 0.0044622 -0.00620439 0
245 2.02124e-08 -2.85558e-09 0 0.00698132 0.0019374 -0.000273715 0
245 2.28619e-08 -1.84844e-10 0 0.00698132 0.00219137 -1.77178e-05 0
245 2.37326e-08 -1.37523e-11 0 0.00698132 0.00227483 -1.31819e-06 0
245 2.38678e-08 -1.05875e-12 0 0.00698132 0.00228779 -1.01484e-07 0
250 4.92925e-08 -6.98933e-08 0 0.00698132 0.00472481 -0.00669944 0
250 2.01616e-08 -3.22312e-09 0 0.00698132 0.00193254 -0.000308944 0
250 2.27506e-08 -2.17949e-10 0 0.00698132 0.0021807 -2.08909e-05 0
250 2.37052e-08 -1.6993e-11 0 0.00698132 0.0022722 -1.62882e-06 0
250 2.38633e-08 -1.37724e-12 0 0.00698132 0.00228735 -1.32012e-07 0
255 5.21986e-08 -7.52728e-08 0 0.00698132 0.00500336 -0.00721508 0
255 2.0136e-08 -3.62272e-09 0 0.00698132 0.00193008 -0.000347247 0
255 2.26348e-08 -2.55444e-10 0 0.00698132 0.0021696 -2.4485e-05 0
255 2.36746e-08 -2.08279e-11 0 0.00698132 0.00226927 -1.9964e-06 0
255 2.38578e-08 -1.77263e-12 0 0.00698132 0.00228683 -1.69911e-07 0
260 2.10721e-08 3.86516e-08 0 0.00698132 0.00201981 0.00370485 0
260 2.15243e-08 3.04228e-09 0 0.00698132 0.00206316 0.00029161 0
260 2.28313e-08 2.63739e-10 0 0.00698132 0.00218844 2.52801e-05 0
260 2.38095e-08 2.54343e-11 0 0.00698132 0.0022822 2.43794e-06 0
260 2.39995e-08 2.73056e-12 0 0.00698132 0.00230041 2.61731e-07 0
265 1.93795e-08 4.07597e-08 0 0.00698132 0.00185757 0.00390691 0
265 2.16363e-08 3.36082e-09 0 0.00698132 0.00207389 0.000322143 0
265 2.27291e-08 3.03567e-10 0 0.00698132 0.00217864 2.90977e-05 0
265 2.37759e-08 3.03874e-11 0 0.00698132 0.00227898 2.9127e-06 0
265 2.39928e-08 3.37134e-12 0 0.00698132 0.00229977 3.23151e-07 0
270 1.74899e-08 4.28959e-08 0 0.00698132 0.00167645 0.00411168 0
270 2.17744e-08 3.69969e-09 0 0.00698132 0.00208713 0.000354624 0
270 2.26261e-08 3.4772e-10 0 0.00698132 0.00216877 3.33298e-05 0
270 2.37392e-08 3.60887e-11 0 0.00698132 0.00227546 3.45919e-06 0
270 2.39851e-08 4.13415e-12 0 0.00698132 0.00229903 3.96269e-07 0
275 1.54035e-08 4.50574e-08 0 0.00698132 0.00147647 0.00431886 0
275 2.19379e-08 4.05912e-09 0 0.00698132 0.0021028 0.000389077 0
275 2.25229e-08 3.96457e-10 0 0.00698132 0.00215888 3.80014e-05 0
275 2.36992e-08 4.26159e-11 0 0.00698132 0.00227163 4.08484e-06 0
275 2.39762e-08 5.03655e-12 0 0.00698132 0.00229817 4.82766e-07 0
280 -3.18928e-08 3.64194e-08 0 0.00698132 -0.003057 0.00349088 0
280 1.07674e-08 1.81488e-09 0 0.00698132 0.00103208 0.000173961 0
280 2.09688e-08 4.27283e-11 0 0.00698132 0.00200991 4.09562e-06 0
280 2.34048e-08 -6.94325e-12 0 0.00698132 0.00224341 -6.65527e-07 0
280 2.38633e-08 -2.39722e-12 0 0.00698132 0.00228735 -2.29779e-07 0
285 -3.3452e-08 3.79791e-08 0 0.00698132 -0.00320646 0.00364039 0
285 1.00849e-08 2.05067e-09 0 0.00698132 0.00096666 0.000196562 0
285 2.07006e-08 5.53919e-11 0 0.00698132 0.00198421 5.30945e-06 0
285 2.33312e-08 -7.13092e-12 0 0.00698132 0.00223635 -6.83516e-07 0
285 2.38474e-08 -2.70202e-12 0 0.00698132 0.00228583 -2.58995e-07 0
290 -3.49766e-08 3.94772e-08 0 0.00698132 -0.00335259 0.00378399 0
